"site","year","lat","lon","species","count"
12032,2019,49.7774,13.3993,"Mallard",6
12032,2020,49.7774,13.3993,"Mallard",6
12032,2021,49.7774,13.3993,"Mallard",0
12032,2019,49.7774,13.3993,"Common Coot",100
12032,2020,49.7774,13.3993,"Common Coot",71
12032,2021,49.7774,13.3993,"Common Coot",0
13002,2019,50.251,12.733,"Mallard",65
13002,2020,50.251,12.733,"Mallard",59
13002,2021,50.251,12.733,"Mallard",138
13002,2019,50.251,12.733,"Common Coot",25
13002,2020,50.251,12.733,"Common Coot",9
13002,2021,50.251,12.733,"Common Coot",11
23020,2019,50.6958,13.9721,"Mallard",40
23020,2020,50.6958,13.9721,"Mallard",52
23020,2021,50.6958,13.9721,"Mallard",60
23020,2019,50.6958,13.9721,"Common Coot",27
23020,2020,50.6958,13.9721,"Common Coot",35
23020,2021,50.6958,13.9721,"Common Coot",22
23051,2019,50.5722,15.0953,"Mallard",480
23051,2020,50.5722,15.0953,"Mallard",308
23051,2021,50.5722,15.0953,"Mallard",104
23051,2019,50.5722,15.0953,"Common Coot",34
23051,2020,50.5722,15.0953,"Common Coot",32
23051,2021,50.5722,15.0953,"Common Coot",11
24009,2019,50.6726,14.1152,"Mallard",23
24009,2020,50.6726,14.1152,"Mallard",29
24009,2021,50.6726,14.1152,"Mallard",100
24009,2019,50.6726,14.1152,"Common Coot",0
24009,2020,50.6726,14.1152,"Common Coot",0
24009,2021,50.6726,14.1152,"Common Coot",10
